role_id,actor_id,movie_id
role_3bf7429a,nm0001749,tt3722070
role_683db3a1,nm0000980,tt3722070
role_7e78788d,nm5297113,tt3722070
role_4e1b7f22,nm0006070,tt3722070
role_dace7f78,nm3137699,tt3722070
role_da5d36f2,nm0421105,tt3722070
role_15438167,nm10272811,tt3722070
role_c89baba8,nm0277525,tt3722070
role_a86310d1,nm0019885,tt3722070
role_9ebe61ce,nm0341743,tt3722070
role_e9bfbb0b,nm0005134,tt0467110
role_fcdfa316,nm0227759,tt0467110
role_57177427,nm0000902,tt0467110
role_b08cb5f4,nm0911320,tt0467110
role_81564098,nm1665342,tt0467110
role_7baa6456,nm0597410,tt0467110
role_fb0adea1,nm0805476,tt0467110
role_ddf98007,nm0010734,tt0467110
role_18f21ac2,nm0004951,tt0467110
role_b5af0a0d,nm1200650,tt0467110
role_8f086c3a,nm5428973,tt2221640
role_b21baaa9,nm3306978,tt2221640
role_e3d9a74f,nm5117061,tt2221640
role_fda0cc4f,nm5118111,tt2221640
role_a04df5b2,nm5116997,tt2221640
role_d0e4b04d,nm12870513,tt2221640
role_70e6cd14,nm6497181,tt2221640
role_eeabda5a,nm0000285,tt0425253
role_91dea310,nm10427805,tt0425253
role_c55e2af2,nm0005251,tt0425253
role_6a97e2c3,nm0000156,tt0425253
role_2db9fa41,nm0005561,tt0425253
role_3830affd,nm1343003,tt0425253
role_2df7ce49,nm0337042,tt0425253
role_8303ff05,nm1815264,tt0425253
role_c29719e2,nm0756089,tt0218619
role_41fae84f,nm0004747,tt0218619
role_147f518a,nm0000729,tt0218619
role_e698f05f,nm0244630,tt0218619
role_4258f18d,nm0004911,tt0218619
role_9ca93209,nm0005561,tt0218619
role_ebc03c08,nm0357718,tt0218619
role_bd10e10a,nm0604050,tt0218619
role_0cfed299,nm0660013,tt0218619
role_038554e1,nm0731732,tt0218619
role_54013b9c,nm0000313,tt1121096
role_bf77c777,nm1602660,tt1121096
role_7b926106,nm0000194,tt1121096
role_1cc78eee,nm2539953,tt1121096
role_c6594c1d,nm1662644,tt1121096
role_dcaa01be,nm0931404,tt1121096
role_0c8db1f3,nm0220883,tt1121096
role_ec4b305a,nm3229685,tt1121096
role_1bcd562f,nm0005023,tt1121096
role_2d7e465f,nm0687679,tt1121096
role_c1cdf3b9,nm0000658,tt0091188
role_4d29b040,nm0000197,tt0091188
role_addd3870,nm0001099,tt0091188
role_2cde95af,nm0822972,tt0091188
role_8a860f05,nm0000330,tt0091188
role_cc3d50d4,nm0557956,tt0091188
role_d50865d2,nm0001573,tt0091188
role_29eb3672,nm0384696,tt0091188
role_62cdb976,nm0001232,tt0091188
role_610f51c4,nm0336701,tt0091188
role_b80a474d,nm0631490,tt1235189
role_54c33b4e,nm1289434,tt1235189
role_6854a6f2,nm0342488,tt1235189
role_95e2fd98,nm0000391,tt1235189
role_6f2c7028,nm0040586,tt1235189
role_f2710d83,nm0293508,tt1235189
role_2b786240,nm0279524,tt1235189
role_32184138,nm1052141,tt1235189
role_39e2f198,nm1239499,tt1235189
role_9dd4a666,nm0240375,tt1235189
role_d4742564,nm5473880,tt3850214
role_cdee82eb,nm10336906,tt3850214
role_f7b33925,nm0064193,tt3850214
role_46c6d478,nm0094170,tt3850214
role_e74eb09a,nm3903943,tt3850214
role_c75f2491,nm15885596,tt3850214
role_3902778c,nm4169922,tt3850214
role_66ef24ba,nm0253708,tt3850214
role_fcebfcc2,nm0289213,tt3850214
role_856b8fc1,nm10706920,tt3850214
role_d9316ad4,nm0467563,tt0086192
role_83a7a704,nm0899918,tt0086192
role_d49c877e,nm0296901,tt0086192
role_46b90e54,nm0730837,tt0086192
role_3dea715a,nm0002869,tt0086192
role_db427221,nm0651930,tt0086192
role_6ccde086,nm0274014,tt0086192
role_8bf0fabc,nm0467559,tt0086192
role_810861e3,nm0483767,tt0086192
role_6e39768d,nm0032536,tt0141974
role_4ad4c1e7,nm0038918,tt0141974
role_6deeae8f,nm0069331,tt0141974
role_f258db31,nm0192191,tt0141974
role_144e1b2a,nm0268199,tt0141974
role_99b5033a,nm0642718,tt0141974
role_3bd8e34d,nm0842770,tt0141974
role_10bb438c,nm0861631,tt0141974
role_a79d7641,nm0908446,tt0141974
role_8c18d575,nm0935653,tt0141974
role_18d2bc38,nm0452009,tt0105316
role_a51115ac,nm0000155,tt0105316
role_db717175,nm0538460,tt0105316
role_64353099,nm0434712,tt0105316
role_4b18a568,nm0229335,tt0105316
role_44f3e3f3,nm0628913,tt0105316
role_a19e80a4,nm1984577,tt0105316
role_f9baa81b,nm0576945,tt0105316
role_1b9e73b9,nm0925722,tt0105316
role_84f1c95f,nm0583905,tt0105316
role_9dd4fcbf,nm1265802,tt1753383
role_92cde374,nm0000598,tt1753383
role_b9ba5579,nm0005152,tt1753383
role_92d951ef,nm7291339,tt1753383
role_9c97353a,nm2187559,tt1753383
role_43275a1f,nm1628115,tt1753383
role_c2c0d9b1,nm0456186,tt1753383
role_1d54ef1d,nm0000518,tt0105046
role_66e36e1d,nm0000641,tt0105046
role_f366e778,nm0001827,tt0105046
role_b23e8103,nm0797150,tt0105046
role_150c50d6,nm0000145,tt0105046
role_7f87fd74,nm0856012,tt0105046
role_d462b5b8,nm0726223,tt0105046
role_c943f3e7,nm0000793,tt0105046
role_16726a9e,nm0608012,tt0105046
role_067766c4,nm0932244,tt0105046
role_eadf2886,nm0136797,tt3289724
role_7e84903a,nm13501063,tt3289724
role_771c4862,nm0641610,tt3289724
role_bd7a5408,nm15609025,tt3289724
role_747bdca7,nm5025690,tt3289724
role_07335381,nm0280559,tt0113540
role_a5a44180,nm0376592,tt0113540
role_e9db321b,nm0682399,tt0113540
role_bf726e30,nm0150954,tt0113540
role_3db80c27,nm0821022,tt0113540
role_6c85f5da,nm0112957,tt0113540
role_09861e13,nm0080159,tt0113540
role_171af045,nm0883600,tt0113540
role_718066fd,nm0907050,tt0113540
role_c784569d,nm0639241,tt0113540
role_84a7307d,nm0001737,tt0114108
role_d9354f5f,nm0325390,tt0114108
role_fb184596,nm0000902,tt0114108
role_9a741330,nm0000347,tt0114108
role_7086fe3c,nm0454436,tt0114108
role_875f3bb6,nm0868984,tt0114108
role_18d40c1b,nm0752900,tt0114108
role_135ed86f,nm0743719,tt0114108
role_2fd3a4ad,nm13247318,tt1615160
role_f2bcec15,nm0000329,tt1615160
role_efd5440b,nm10619279,tt1615160
role_ba282042,nm0849214,tt1615160
role_0dd80522,nm0188770,tt1615160
role_26ec329f,nm0126133,tt1615160
role_4a148b92,nm2980858,tt1615160
role_d1056798,nm1394398,tt1615160
role_abadbe4a,nm4027215,tt1615160
role_f61293f9,nm0000112,tt1615160
role_28ddd0a0,nm0127447,tt0097194
role_ef028087,nm0808907,tt0097194
role_716c2763,nm0606656,tt0097194
role_95e1adb9,nm0286964,tt0097194
role_944c4470,nm0239914,tt0097194
role_d2168ed6,nm0492192,tt0097194
role_be06cd20,nm0425355,tt0097194
role_d03c2a81,nm0494189,tt0097194
role_231a89d6,nm0846811,tt0097194
role_0c339af1,nm0389520,tt0097194
role_71600d25,nm0001191,tt1086772
role_b9cdabce,nm0000106,tt1086772
role_a001dfc9,nm0005265,tt1086772
role_1fd621a2,nm0187719,tt1086772
role_4dc25f88,nm1018488,tt1086772
role_be38fda2,nm15432581,tt1086772
role_a87bce62,nm0570364,tt1086772
role_e2801526,nm0628951,tt1086772
role_3df20dad,nm12883919,tt1086772
role_8092af34,nm4758216,tt1086772
role_2eb26239,nm0000194,tt7985692
role_098ef689,nm0931329,tt7985692
role_8e78a4a7,nm0001082,tt7985692
role_0c51a973,nm5362984,tt7985692
role_e11f903f,nm15004811,tt7985692
role_d4d711cd,nm0085959,tt7985692
role_52281719,nm0153855,tt7985692
role_e6e60a58,nm0204555,tt7985692
